category,title,excerpt,date,link,author,content,image
news,"S'Court verdict: Don't lose hope, Lagos PDP urges members",The Lagos State chapter of the Peoples Democratic Party has urged its members to be hopeful and not be discouraged by the judgment of the Supreme Court. The party also assured its supporters that ther...,13th January 2024,https://punchng.com/scourt-verdict-dont-lose-hope-lagos-pdp-urges-members/,Adetutu Sobowale,"The Lagos State chapter of the Peoples Democratic Party has urged its members to be hopeful and not be discouraged by the judgment of the Supreme Court.
The party also assured its supporters that there are greater opportunities in the future for the party.
The party stated this in a statement released on Saturday signed by its Publicity Secretary, Hakeem Amode.
This call is coming after the verdict of the Supreme Court which affirmed the re-election of the state governor, Babajide Sanwo-Olu on Friday.     
Following the announcement of Sanwo-Olu as the winner of the 2023 governorship election in the state, the PDP governorship candidate, Abdulazeez Adediran, popularly known as Jandor, filed a petition before the state governorship election tribunal where he called for the disqualification of the candidates of the All Progressives Congress and the Labour Party, Sanwo-Olu and Gbadebo Rhodes-Vivour for “non-compliance” with the Electoral Act 2022 and the guidelines of the Independent National Electoral Commission.
In the petition marked EPT/LAG/GOV/01/2023 dated April 7, the PDP and Jandor noted that APC failed to comply with the INEC timetable.
However, the Tribunal affirmed the re-election of Sanwo-Olu and dismissed his petition.      
But dissatisfied with the verdict, Jandor filed an appeal challenging the judgment of the state Election Petitions Tribunal.
He filed the appeal together with his party, PDP before the state’s Court of Appeal and contended that the name Sanwo-Olu submitted to INEC was different from that contained in his WAEC certificate.
The Court of Appeal dismissed the case and affirmed Sanwo-Olu’s election victory.
He alongside his party, the PDP proceeded to the Supreme Court to appeal the judgement of the Court of Appeal.
However, the apex court dismissed the appeal, describing it as “academic”.
Reacting to the judgment, the party said it is concluding matters related to the election and called on its members and supporters to not lose faith in the party.
The statement read, “We Are Not Discouraged By Supreme Court Judgment” “Following the Supreme Court’s verdict on the 2023 Governorship Election in Lagos State, which our party, the Peoples Democratic Party (PDP), contested, we are officially concluding all matters related to the election.          Related News  Legal triumph: Supreme Court affirms election victories of 10 governors  It will be difficult to dislodge APC in 2027, declares PDP  Supreme court verdict: Otti commends Tinubu for being neutral   
“In light of this, we appeal to the residents of the state and our numerous supporters to maintain optimism, as we firmly believe that there will always be another opportunity.
“As a party committed to democratic principles, the PDP has no option but to move forward after the highest court has issued a conclusive judgment on the matter.
“Our candidate in the election, Dr. Abdul-Azeez Olajide Adediran aka Jandor, has shared his perspective on the judgment and has even extended congratulations to Governor Babajide Olusola Sanwo-Olu, whose victory has been affirmed by the court.
“We remain dedicated to fostering a thriving democracy, and we will refrain from any actions that undermine the hard-fought gains achieved during the military era.
“The Lagos State chapter of the PDP believes that if given the opportunity to serve the people, we have more comprehensive programmes for the residents compared to the current offerings.
“We firmly hold that Lagos State residents should not endure hardship amidst abundance, and we are confident that another chance to serve will emerge in the near future. We will not allow this momentary setback to dampen our spirits.
“Lagos, as a metropolitan state and the commercial center of Nigeria, holds a prominent position nationally and competes with some African countries in terms of GDP, population, and developmental indicators.”      
The party, however, disclosed that despite losing the election, its candidate will always be available for public services.
“Our candidate, Jandor, remains committed to public service and will continue to make himself available whenever the need arises.
“There will always be another opportunity, and we will not let this temporary setback hinder our pursuit of making Lagos State an egalitarian society with equal opportunities for everyone.
“We also want to express our gratitude to everyone who supported us before, during, and after the election. We thank all PDP members in Lagos State, our supporters, market men and women, business people, traders, journalists, traditional rulers, religious leaders, and many others for their unwavering support.
“Your dedication during the campaigns, at the polls, and throughout the legal proceedings has not gone unnoticed. You have shown us that you are dependable, and we are not alone in our quest for the kind of society we deserve in the state.
“May we also use this opportunity to urge you all to vote for the candidate of the PDP in the forthcoming election into the Surulere Federal Constituency 1 in the House of Representatives to fill the seat left by the former speaker of the House, Hon. Femi Gbajabiamila.”",https://cdn.punchng.com/wp-content/uploads/2022/04/20173733/Lagos4Lagos-Jandor.jpg
news,Why corruption is difficult to tackle in Nigeria - Bisi Akande,"Ex-Osun State Governor, Adebisi Akande, has said successive administrations in Nigeria have failed to defeat corruption due to a “corrupt mindset” of Nigerians. Akande, who spoke to journalists in...",13th January 2024,https://punchng.com/why-corruption-is-difficult-to-tackle-in-nigeria-bisi-akande/,Bola Bamigbola,"Ex-Osun State Governor, Adebisi Akande, has said successive administrations in Nigeria have failed to defeat corruption due to a “corrupt mindset” of Nigerians.
Akande, who spoke to journalists in his Ila-Orangun country home on Saturday as part of activities marking his 85th birthday, said until Nigerians have a change of mindset and embrace the virtues of dedication and hard work, no leader would be able to attack and defeat corruption in the country.
The pioneer Interim National Chairman of the All Progressives Congress, who lamented that rather than embracing hard work, many Nigerians would prefer to cut corners, said leadership alone could not make people prosperous.
He further said, “In Nigeria, corruption is not the first thing to fight otherwise you get perished. The mindset is corrupt.     
“The man who wants prosperity by miracle is corrupt. You want to own a car or house by miracle, you are already a corrupt man.  Related News  Humanitarian ministry scandals: EFCC seizes Edu, former minister’s passports  2024: Reset Nigeria and avert the storm  Reviewing Olaniyan’s treatise on corruption proceeds   
“In a country where everybody is corrupt, who is that leader, who will bell the cat?
“So you are only blaming the leader, but you are corrupt yourself. Go to religious circle, everybody wants comfort without work.      
“The present generation doesn’t want to work. They want everything by miracle. Such a community can never be prosperous. No leader can make them prosperous.
“They will just be blaming government. A country where everybody is corrupt like Nigeria, nobody can solve the problem.”",https://cdn.punchng.com/wp-content/uploads/2017/07/25172158/Bisi-Akande.jpg
news,NITDA reviews guidelines for ICT service providers,The Federal Government has informed contractors and Information and Communications Technology service providers of its intentions to conduct a comprehensive review of guidelines governing the process ...,13th January 2024,https://punchng.com/nitda-reviews-guidelines-for-ict-service-providers/,Damilola Aina,"The Federal Government has informed contractors and Information and Communications Technology service providers of its intentions to conduct a comprehensive review of guidelines governing the process of delivering IT services to Ministries, Departments, and Agencies.
The National Information Technology Development Agency under the purview of the Ministry of Communications, Innovations and Digital Economy announced this via a press release on Saturday in Abuja.
The Head of Corporate Affairs and External Relations of NITDA, Hadiza Umar, said the review was designed to streamline the process, uphold the highest standards of professionalism in IT services, and nourish the growth of local IT companies.
The government had, in 2018, outlined a registration process for indigenous IT companies to nourish their growth in adherence to a presidential executive order but was inefficiently implemented.     
A copy of the guidelines showed that only indigenous applicants will be considered for registration and must have at least one of its principal officers registered with the Computer Professionals of Nigeria.
As a result of the inefficiency, the NITDA spokesperson stated that a review of the guidelines will be carried out under global trends to ensure competent vendors are engaged for IT service delivery.  Related News  ICPC partners NITDA to combat corruption  ICPC partners NITDA to tackle corruption with technology  ICT industry needs regulatory reforms for growth – Edves Inc founder   
She added that the guidelines will create opportunities for more digital services to be provided by Nigerian companies while strengthening the ease of doing business for IT service providers.      
Umar said, “The National Information Technology Development Agency is undertaking a comprehensive review of the guidelines for registration of ICT service providers/contractors, designed to streamline the process for the delivery of IT services to Ministries, Departments, and Agencies of the Federal Government of Nigeria.
“Since the issuance of the guidelines, the agency has identified the need to improve the efficiency in the process of registration, promote indigenous IT service provision, ensure competent vendors are engaged for IT service delivery to Ministries, Departments and Agencies of the Federal Government of Nigeria.”
She noted that “NITDA desires to collaborate with all stakeholders to ensure that Nigerians benefit from the use of Information Technology to enhance and simplify their daily activities, especially service delivery by government and other institutions. This aligns with the present administration’s drive to ensure collective prosperity through efficiency and innovation.
“The review, which will result in the amendment of the guidelines, will create opportunities for more digital services to be provided by Nigerian companies while strengthening the ease of doing business for IT serviceproviders.”",https://cdn.punchng.com/wp-content/uploads/2017/09/10231935/Mrs.-Hadiza-Umar.jpg
news,"Gombe suspends state microfinance bank MD, dissolves board","Following the Central Bank of Nigeria audit report, Gombe State Governor, Muhammadu Yahaya, has approved the dissolution of the board of directors of Bubayero Micro Finance Bank. The state governor ...",13th January 2024,https://punchng.com/gombe-suspends-state-microfinance-bank-md-dissolves-board/,Chima Azubuike,"Following the Central Bank of Nigeria audit report, Gombe State Governor, Muhammadu Yahaya, has approved the dissolution of the board of directors of Bubayero Micro Finance Bank.
The state governor also suspended the Managing Director and Chief Executive Officer from office.
The Bubayero Micro Finance Bank is jointly owned by the Gombe and Local Governments in the state.
The Secretary to Government of Gombe State,Professor Ibrahim Njodi, who on Saturday conveyed the governor’s approval, said the decision was sequel to the findings of a thorough forensic audit of the financial activities at Bubayero Micro Finance Bank.     
“Based on recommendations from appointed Financial Consultants as well as the audit report of the Central Bank of Nigeria, CBN,” he said.  Related News  Gombe police arrest 16 for child trafficking  Reverse suspension order, suspended Ondo LG chairmen tell court  NWC nullifies Ondo PDP chair suspension by SWC   
Njodi urged the Managing Director to hand over responsibilities to the most senior bank official.
He added, “While all suspended board members and management are instructed to promptly hand over all official assets in their possession, an interim management, headed by the Executive Director, Financial Control and Operations, has been established, and is to report to the Permanent Secretary, Ministry of Finance and Economic Development for further directives.”      
“These directives, which take immediate effect, are aimed at ensuring transparency, accountability, and the safeguarding of the institution’s integrity and maintaining public trust in the system.”
The CBN three days ago had with immediate effect, sacked the entire Board of Directors of Polaris, Titan, Union, and Keystone Banks.",https://cdn.punchng.com/wp-content/uploads/2021/09/02102849/Gombe-State-Governor-Inuwa-Yahaya.jpg
news,Tinubu sets up panel to audit social investment programmes,President Bola Tinubu on Saturday approved the establishment of a Special Presidential Panel saddled with the responsibility of undertaking a comprehensive review and reform of the social investment p...,13th January 2024,https://punchng.com/just-in-tinubu-sets-up-panel-to-audit-social-investment-programmes/,Stephen Angbulu,"President Bola Tinubu on Saturday approved the establishment of a Special Presidential Panel saddled with the responsibility of undertaking a comprehensive review and reform of the social investment programmes suspended last month.
The panel will be led by the Coordinating Minister of the Economy and Minister of Finance, Mr. Wale Edun.
The SPP comes 24 hours after Tinubu suspended all administered Social Investment Programmes by the National Social Investment Programme Agency which also includes the school-feeding programme.
A statement signed on Friday by the Director of Information, Office of the Secretary to the Government of the Federation, Segun Imohiosen, said the suspension was in view of the “ongoing investigation of alleged malfeasance in the management of the agency and its programmes.”     
Sequel to the six-week suspension of the four programmes, Tinubu tasked the Edun-led panel to “immediately undertake a comprehensive review and audit of existing financial frameworks and policy guidelines of the social investment programmes.”
This is is according to a statement signed by the President’s Special Adviser on Media and Publicity, Ajuri Ngelale, titled ‘President Tinubu establishes special presidential panel on social investment programmes.’  Related News  Rivers crisis: I've fulfilled my part of peace deal - Wike  Join me in developing Kano, governor woos APC candidate  Discharge your duties with patriotism, minister tells new agency heads   
Ngelale said the goal is to implement “a total re-engineering of the financial architecture of the programmes with detailed modification to procedures guiding the programmes’ implementation moving forward.”      
The SPP, which is comprised of ministers representing strategic sectors and will ensure a multi-disciplinary approach to the reform effort, is made up of the coordinating Minister of the Economy and Minister of Finance as Chairman, the Coordinating Minister of Health and Social Welfare, Prof Ali Pate as Member.
Other members are the Minister of Budget and Economic Planning, Abubakar Bagudu, the Minister of Information and National Orientation, Muhammad Idris; Minister of Communicatons, Innovation and Digital Economy, Bosun Tijjani; and the Minister of State for Youth, Ayodele Olawande.
Tinubu anticipates that the anel will “validate the confidence reposed in it by winning back all lost public confidence in these vital programmes over the years by ushering in a new era of operation based on open and accountable governance frameworks.”
He said these frameworks will prove “impervious to abuse and incompetence for the exclusive benefit of disadvantaged households across our nation.”",https://cdn.punchng.com/wp-content/uploads/2023/10/11183908/Tinubu-signs.jpeg
news,Rivers crisis: I've fulfilled my part of peace deal - Wike,"Minister of the Federal Capital Territory, Nyesom Wike, has said he and members of his camp have fulfilled their part of the peace deal initiated by President Bola Tinubu on the political crisis in Ri...",13th January 2024,https://punchng.com/rivers-crisis-ive-fulfilled-my-part-of-peace-deal-wike/,Dennis Naku,"Minister of the Federal Capital Territory, Nyesom Wike, has said he and members of his camp have fulfilled their part of the peace deal initiated by President Bola Tinubu on the political crisis in Rivers State.
This is as he stated that all parties involved in the political crisis had endorsed the presidential proclamation.
Wike stated this on Saturday when he visited the Oba of Ogbaland in the Ogba/Egbema/Ndoni Local Government Area of Rivers, Eze Nnam Obi III.
Addressing the monarch, the immediate past Rivers State Governor said he is interested in the peace and unity of the state and promised not to let him down.     
“We accepted whatever decision Mr. President has taken and we have on our own part fulfilled every condition given by Mr President because I told you I will not let you down.
“It is just to let you know that your request of making sure there is peace in the state of which you asked Mr President to intervene, we have accepted.  Related News  Tinubu sets up panel to audit social investment programmes  Join me in developing Kano, governor woos APC candidate  Discharge your duties with patriotism, minister tells new agency heads   
“And I want you to use this opportunity to continue to pray for Mr President for God to continue to give him wisdom to pilot the affairs of this nation,” Wike stated.      
He praised Tinubu for wading into the crisis in the state saying it shows his interest in the peace of the state, even as he promised never to disobey him.
Wike added, “He is not from this state. So many people have piloted the affairs of this country, crisis has engulfed other states and you hardly would see somebody to come out and say irrespective of the political party, I need peace in the state.
“If there is peace in the states, it will help peace in Nigeria. So, I will urge you and your council to continue to pray for Mr President for God to continue to give him wisdom to pilot the affairs of the country.”
The former Rivers State Governor was accompanied by the Minister of
Petroleum Resources (Oil), Heineken Lokpobiri; and a former Bayelsa State Governor, Chief Timipre Sylva.
Others are Senator Sam Anyanwu, Senator Barinada Mpigi and National Vice Chairman of the All Progressives Congress, South-South, Chief Victor Giadom; and a former Rivers State Peoples Democratic Party Chairman,FelixObuah.",https://cdn.punchng.com/wp-content/uploads/2024/01/02103901/Tinubu-Fubara-and-Wike.png
news,"CBN decongests head office, moves departments to Lagos","The Central Bank of Nigeria is set to transfer some of its departments to Lagos State. This was stated in an Internal memo made available to PUNCH Online on Saturday. The move, according to an officia...",13th January 2024,https://punchng.com/cbn-decongests-head-office-moves-departments-to-lagos/,Daniel Adaji,"The Central Bank of Nigeria is set to transfer some of its departments to Lagos State.
This was stated in an Internal memo made available to PUNCH Online on Saturday.
The move, according to an official of the CBN who spoke on condition of anonymity, is to decongest the apex bank’s head office.
Although some staff members of the bank have reportedly resisted the transfer and claimed that it is motivated by tribal sentiment, the source said it is for their safety and increased productivity.     
“What is happening now at the CBN is likened to a company with over 500 staff and say 200 used to go to work in other states and return to the head office. It is not out of place for the company to relocate them fully to that state to work and increase their safety and productivity,” he said.
The official stated that only some departments of the apex bank, including the Bank Supervision Department, were affected by the transfer.
He stated that the move is meant to increase the productivity of the affected staff while also cutting costs and ensuring their safety.      
PUNCH Online gathered through the official that the departments penciled down for relocation by the CBN Governor, Yemi Cardoso are Banking Supervision; Other Financial Institutions Supervision; Consumer Protection Department; Payment System Management Department and Financial Policy Regulations Department.
” Most of the bank’s headquarters are in Lagos. The CBN usually sends staff from Abuja to work in Lagos for like one to two months and return to the head office.
“Being on the road all the time is not safe for them and not also cost-efficient for the bank. We know that anybody leaving their comfort would feel the pain, that is why some of the affected workers are complaining but I can assure you that, it is for their good,” he said.
He also noted that the carrying capacity of the Abuja office is 3 000 but the staff strength is at 4 000 now which is a threat to the facilities at the head office.  Related News  Keystone Bank allays customers' fear, promises smooth operations  Union, Polaris, Keystone: CBN plans shareholders summit, compiles new directors’ lists  No CBN official arrested, says DSS   
“Abuja office is designed to carry about 3 000 staff but we are 4 000 already. The facility managers have already warned of the implication; the security of staff is also at stake with the increased number because it overwhelms the managers,” the official stated.
Excerpts from the memo obtained read, “This is to notify all staff members at the CBN Head Office that we have initiated a decongestion action plan designed to optimise the operational environment of the bank.
“This initiative aims to ensure compliance with building safety standards and enhance the efficient utilisation of our office space.        
“This action is necessitated by several factors, including the need to align the Bank’s structure with its functions and objectives, redistribute skills to ensure a more even geographical spread of talent and comply with building regulations, as indicated by repeated warnings from the Facility Manager, and the findings and recommendations of the Committee on Decongestion of the CBN Head Office.
“The action plan focuses on optimising the utilisation of other Bank’s premises. With this plan, 1,533 staff will be moved to other CBN facilities within Abuja, Lagos and understaffed branches.
“Our current occupancy level of 4,233 significantly exceeds the optimal capacity of 2,700 designed for the Head Office building. This overcrowding poses several critical challenges:
“Safety Concerns: The building’s infrastructure was designed for a specific number of occupants. Exceeding this capacity has raised safety concerns, increased health and accident risks – and hinders efficient emergency evacuation.
“Reduced Efficiency: Crowded workspaces are negatively impacting productivity and collaboration. Additionally, overstretched facilities have led to increased maintenance costs.
“Structural Integrity: The building’s integrity can be compromised by exceeding its designed capacity.”
The memo further said the decongestion would also improve the apex bank’s operational and workflow efficiency.      
“Strategic alignment: The decision to redistribute departments and staff is rooted in a strategic approach to align the structure of the Bank with its functions and objectives. Certain departments may be better suited to operate in proximity to Financial Institutions’ head offices, which are predominantly located in Lagos. This strategic alignment ensures optimal collaboration and efficiency,” thememostated.",https://cdn.punchng.com/wp-content/uploads/2022/11/28080107/cbn.jpg
news,Minister assures contractors of adequate funding for Abuja-Kano highway,"The Minister of Finance and Co-Ordinating Minister of the Economy, Wale Edun, has assured contractors of adequate funding for the Abuja-Kano highway. The minister gave the assurance in a statement sig...",13th January 2024,https://punchng.com/minister-assures-contractors-of-adequate-funding-for-abuja-kano-highway/,Daniel Adaji,"The Minister of Finance and Co-Ordinating Minister of the Economy, Wale Edun, has assured contractors of adequate funding for the Abuja-Kano highway.
The minister gave the assurance in a statement signed by the ministry’s spokesperson, Stephen Kilebe, on Saturday.
The Abuja-Kaduna-Zaria-Kano Road forms a critical part of Nigeria’s highway which runs from north to south, enabling the movement of people and products across the country, thereby, uniting Nigerians and the economy.
It also connects Nigeria to North Africa via the Lagos-Algiers Trans-African Highway.     
To address the poor condition and deterioration of this major road, the Federal Government contracted the rehabilitation and reconstruction of the 375.9km of the dual carriageway to Julius Berger: from the Federal Capital Territory Abuja through Kaduna, excluding the Kaduna bypass, to Zaria and further north to Kano.
However, Edun noted that the Abuja-Kaduna-Zaria-Kano dual carriageway is a viable project, adding that he does not doubt the completion of the project on time by the contractors.
The statement read, “The Minister of Finance and Co-Ordinating Minister of the Economy, Wale Edun, and his Federal Ministry of Works counterpart, Senator David Umahi, have embarked on the inspection of the Abuja – Kaduna – Zaria – Kano Dual Carriage Way.      
“In his remarks, the minister said they were at the inspection of the project today under the mandate of President Bola Tinubu’s Renewed Hope Agenda to examine and hear from the contractors and see their commitment, encourage and support them to the early completion of this all-important project and to urge them to do more.”  Related News  FG releases N17bn for Abuja-Kano highway  Using asphalt for road construction not banned, says FG  JUST IN: FG orders installation of CCTV on nine highways   
Edun reiterated that infrastructure was a critical priority of the Tinubu-led administration “in order to get food prices down, ease transportation of agricultural produce, movement of people freely across the country, and stabilise the economy.”
The minister assured the contractors of the availability of funds for the early completion of the road project.
He said, “We have come, we have seen the level of commitment of the contractors to the completion of the project as soon as possible.”
The minister, who commended the level of progress made on the project, said the ongoing attempt was to improve domestic resources mobilisation available to highly viable projects such as this.
Earlier, Umahi disclosed that Tinubu had directed that they “must ensure that work is completed on this project in 24 months.”
He added that “the two ministers are sorting out the payment modalities and ensuring milestone completion of the project.”        
Umahi also thanked him for making critical decisions about the completion of the projects.
The Programme Manager of Julius Berger, the contractor handling the project, Mr. Benjamin Butt, disclosed that the company was using a construction methodology known as recycling technology in the rehabilitationoftheroad.",https://cdn.punchng.com/wp-content/uploads/2024/01/12193655/Abuja-Kano-highway.jpg
news,10 corps members head to India for youth exchange programme,"The National Youth Service Corps has announced that 10 corps members will travel to India on Sunday, to participate in a Youth Exchange Programme organised by the Indian National Cadet Corps. The annu...",13th January 2024,https://punchng.com/10-corps-members-head-to-india-for-youth-exchange-programme/,Nathaniel Shaibu,"The National Youth Service Corps has announced that 10 corps members will travel to India on Sunday, to participate in a Youth Exchange Programme organised by the Indian National Cadet Corps.
The annual programme is held to commemorate the Independence Anniversary of the Republic of India, drawing participants from Europe, Asia, Africa and other continents.
This was contained in a statement signed by NYSC’s Director of Press and Public Relations, Eddy Megwa, on Saturday.
During a pre-departure briefing held at the Indian High Commission in Abuja, the NYSC Director-General, Brigadier General Y. D. Ahmed, expressed appreciation for the invitation extended to the scheme to participate in the programme.     
The DG said the invitation, being the second one, was another opportunity for the scheme “to showcase the potential of the Nigerian youths while also giving participants the opportunity to understand the socio-economic similarities and differences between the two countries.”
Ahmed noted that Nigeria is a country with diverse cultures and that the Scheme was “always open to collaborating with agencies both within and outside the country, for the promotion of its objectives”.  Related News  Gombe gov seeks employers' support for corps members  Group trains youths to solve environmental challenges  NYSC confirms release of abducted corpers   
The DG also said the ideas the Nigerian delegation would gain from the programme, especially from the Indian National Cadet Corps, would be applied to improve the NYSC programmes while congratulating the Corps Members on their nomination for the event, and enjoined them to be of good conduct in line with the core values of the scheme.      
Speaking earlier, the Indian High Commissioner in Nigeria, Shri Balasubramanian, appreciated the contributions of the scheme to the development of Nigeria and revealed that its selection for participation in the Youth Exchange Programme along with other countries, was informed by its uniqueness as well as similarities with the National Cadet Corps of India.
While promising the corps members memorable and impactful experiences during the programme, the High Commissioner said India would be willing to learn from the scheme’s experiences.
He further expressed the pleasure of the Indian government with the last set of corps members who attended the country’s 75th Independence anniversary and urged the present set to emulate their predecessors, as all expenses for the trip would be catered for by the Indian Government.
“Balasubramanian admonished them to use the opportunity of the programme to make friends from across the globe and also explore the country’s rich cultural heritage, its historical sites, other issues of interest including Indian cuisines”, the statement also read.",https://cdn.punchng.com/wp-content/uploads/2019/08/23075442/NYSC.jpg
news,Road construction: Aiyedatiwa orders contractors back to site,"The Ondo State Governor, Mr Lucky Aiyedatiwa has expressed his commitment to complete all the ongoing projects across the state as he ordered the contractors handling road projects to return to site. ...",13th January 2024,https://punchng.com/road-construction-aiyedatiwa-orders-contractors-back-to-site/,Peter Dada,"The Ondo State Governor, Mr Lucky Aiyedatiwa has expressed his commitment to complete all the ongoing projects across the state as he ordered the contractors handling road projects to return to site.
The governor has also approved the rehabilitation and asphalt overlay of 60km of roads across the state within the next three months.
This was contained in a statement issued by the Chief Press Secretary to the governor, Mr Ebenezer Adeniyan, on Saturday.
According to the statement, some of the affected roads are the Oda-Ijoka dualisation in Akure, the Owo dualization, the Arigidi-Ogbagi Akoko, and the OAUSTECH internal roads among others.     
It noted that the projects to receive urgent attention, as directed by the governor, include, the completion of Owo township dualisation, Oba Osupa – Oluwatuyi – Ijoka (Akure) dualization, completion of Oda dual carriage (Akure), completion of Akure flyover (Onyearugbulem-Shagari-Irese), construction of 15.89km selected roads in Ondo township among others.  Related News  Gov aspirant sponsoring certificate forgery claim against Aiyedatiwa – Aide  Aiyedatiwa denies plan to dissolve Ondo APC leadership  Aiyedatiwa in dilemma as lobby for appointments heightens   
The statement read, ” Governor Aiyedatiwa, who had promised that all ongoing infrastructural projects in the state would be completed, directed the Ministry of Works and Infrastructure to mobilise contractors back to the site to speed up work on the projects for early completion.
“The governor expressed the determination of his administration to hit the ground running with the implementation of policies and programmes of government as scheduled to budget, assuring timely payment for jobs done by contractors      
The statement added that the Permanent Secretary of the Ministry of Works and Infrastructure, Allen Idowu has relayed the directive of the governor to the concerned contractors, that the governor had expressed his readiness to ensure that the needed resources are made available on time to encourage them.
“The Permanent Secretary said the contractors have expressed their willingness to speed up their projects to meet up with the deadline set by the governor, adding that the officials of the ministry have also been mobilized to play their parts, ” the statement read.",https://cdn.punchng.com/wp-content/uploads/2023/08/21135453/Lucky-Aiyedatiwa-2.png
